dist_m,el_m
0,334.5217896
352.1268389,300.6967468
704.2536778,330.1856079
1056.380517,349.2856445
1408.507356,367.218811
1760.634195,354.709137
2112.761033,337.3948669
2464.887872,312.8269043
2817.014711,317.4974365
3169.14155,276.2095947
3521.268389,261.1282043
3873.395228,226.1684723
4225.522067,278.8027039
4577.648906,285.3433838
4929.775745,269.3565674
5281.902584,280.6965942
5634.029423,276.0497437
5986.156262,280.8536377
6338.2831,299.1304932
6690.409939,249.9612122
7042.536778,259.7658386
7394.663617,264.5638733
7746.790456,269.3462524
8098.917295,286.4820557
8451.044134,253.2783203
8803.170973,221.7928009
9155.297812,240.1326904
9507.424651,281.352478
9859.55149,272.6981201
10211.67833,239.9808502
10563.80517,240.0679779
10915.93201,260.2299194
11268.05885,259.8300781
11620.18568,238.5666809
11972.31252,236.645752
12324.43936,229.146637
12676.5662,223.066925
13028.69304,144.2949371
13380.81988,122.1429901
13732.94672,112.9377365
14085.07356,89.73334503
14437.2004,97.12754059
14789.32723,85.57406616
15141.45407,133.2138977
15493.58091,148.5871429
15845.70775,231.8618927
16197.83459,257.2336731
16549.96143,215.2566833
16902.08827,127.5104294
17254.21511,179.8014679
17606.34195,178.8649902
17958.46878,232.6464996
18310.59562,254.5947418
18662.72246,244.7387695
19014.8493,166.9861908
19366.97614,120.1678238
19719.10298,92.90512085
20071.22982,64.53726959
20423.35666,94.46821594
20775.4835,118.2763214
21127.61033,66.221138
21479.73717,37.70132828
21831.86401,20.71146584
22183.99085,39.46723938
22536.11769,59.87488174
22888.24453,47.26737213
23240.37137,48.13549805
23592.49821,21.47176552
23944.62505,0.391030312
24296.75189,-6.86225462
24648.87872,-1.330072165
25001.00556,0.666536987
25353.1324,0.76682508
25705.25924,-0.473066479
26057.38608,-0.000293207
26409.51292,0.788410068
26761.63976,2.43027091
27113.7666,5.567109108
27465.89344,6.289045811
27818.02027,6.03853178
28170.14711,4.612232685
28522.27395,-4.041737556
28874.40079,-4.033150673
